1.239842*eV   134035.392039*m
1.241083*eV   133499.983499*m
1.242327*eV   132966.180662*m
1.243573*eV   132433.980317*m
1.244821*eV   131903.379251*m
1.246072*eV   131374.374257*m
1.247326*eV   130846.962131*m
1.248582*eV   130321.139672*m
1.249841*eV   129796.903683*m
1.251102*eV   129274.250969*m
1.252366*eV   128753.178338*m
1.253632*eV   128233.682602*m
1.254901*eV   127715.760577*m
1.256172*eV   127199.409080*m
1.257446*eV   126684.624934*m
1.258723*eV   126171.404964*m
1.260002*eV   125659.745996*m
1.261284*eV   125149.644863*m
1.262568*eV   124641.098399*m
1.263855*eV   124134.103441*m
1.265145*eV   123628.656830*m
1.266437*eV   123124.755411*m
1.267732*eV   122622.396031*m
1.269030*eV   122121.575541*m
1.270330*eV   121622.290793*m
1.271633*eV   121124.538646*m
1.272938*eV   120628.315958*m
1.274247*eV   120133.619595*m
1.275558*eV   119640.446422*m
1.276871*eV   119148.793309*m
1.278188*eV   118658.657130*m
1.279507*eV   118170.034760*m
1.280828*eV   117682.923080*m
1.282153*eV   117197.318971*m
1.283480*eV   116713.219321*m
1.284810*eV   116230.621017*m
1.286143*eV   115749.520953*m
1.287479*eV   115269.916024*m
1.288817*eV   114791.803129*m
1.290158*eV   114315.179170*m
1.291502*eV   113840.041053*m
1.292849*eV   113366.385685*m
1.294198*eV   112894.209979*m
1.295551*eV   112423.510850*m
1.296906*eV   111954.285215*m
1.298264*eV   111486.529996*m
1.299625*eV   111020.242118*m
1.300988*eV   110555.418509*m
1.302355*eV   110092.056099*m
1.303724*eV   109630.151823*m
1.305097*eV   109169.702619*m
1.306472*eV   108710.705426*m
1.307850*eV   108253.157190*m
1.309231*eV   107797.054856*m
1.310615*eV   107342.395377*m
1.312002*eV   106889.175704*m
1.313392*eV   106437.392796*m
1.314785*eV   105987.043611*m
1.316180*eV   105538.125114*m
1.317579*eV   105090.634270*m
1.318981*eV   104644.568050*m
1.320385*eV   104199.923426*m
1.321793*eV   103756.697375*m
1.323204*eV   103314.886876*m
1.324618*eV   102874.488911*m
1.326034*eV   102435.500466*m
1.327454*eV   101997.918530*m
1.328877*eV   101561.740096*m
1.330303*eV   101126.962159*m
1.331731*eV   100693.581717*m
1.333163*eV   100261.595773*m
1.334598*eV   99831.001332*m
1.336037*eV   99401.795402*m
1.337478*eV   98973.974994*m
1.338922*eV   98547.537123*m
1.340370*eV   98122.478808*m
1.341820*eV   97698.797070*m
1.343274*eV   97276.488932*m
1.344731*eV   96855.551423*m
1.346191*eV   96435.981574*m
1.347654*eV   96017.776418*m
1.349121*eV   95600.932993*m
1.350590*eV   95185.448340*m
1.352063*eV   94771.319501*m
1.353539*eV   94358.543526*m
1.355019*eV   93947.117462*m
1.356501*eV   93537.038365*m
1.357987*eV   93128.303290*m
1.359476*eV   92720.909297*m
1.360968*eV   92314.853450*m
1.362464*eV   91910.132814*m
1.363963*eV   91506.744460*m
1.365465*eV   91104.685460*m
1.366970*eV   90703.952890*m
1.368479*eV   90304.543830*m
1.369991*eV   89906.455360*m
1.371507*eV   89509.684568*m
1.373025*eV   89114.228542*m
1.374548*eV   88720.084375*m
1.376073*eV   88327.249160*m
1.377602*eV   87935.719998*m
1.379135*eV   87545.493989*m
1.380670*eV   87156.568239*m
1.382210*eV   86768.939856*m
1.383752*eV   86382.605951*m
1.385298*eV   85997.563638*m
1.386848*eV   85613.810036*m
1.388401*eV   85231.342266*m
1.389957*eV   84850.157452*m
1.391517*eV   84470.252721*m
1.393081*eV   84091.625205*m
1.394648*eV   83714.272036*m
1.396218*eV   83338.190353*m
1.397793*eV   82963.377295*m
1.399370*eV   82589.830006*m
1.400951*eV   82217.545634*m
1.402536*eV   81846.521327*m
1.404125*eV   81476.754239*m
1.405717*eV   81108.241528*m
1.407312*eV   80740.980351*m
1.408911*eV   80374.967874*m
1.410514*eV   80010.201260*m
1.412121*eV   79646.677680*m
1.413731*eV   79284.394307*m
1.415345*eV   78923.348316*m
1.416962*eV   78563.536886*m
1.418584*eV   78204.957199*m
1.420208*eV   77847.606442*m
1.421837*eV   77491.481802*m
1.423470*eV   77136.580471*m
1.425106*eV   76782.899645*m
1.426746*eV   76430.436522*m
1.428389*eV   76079.188303*m
1.430037*eV   75729.152193*m
1.431688*eV   75380.325401*m
1.433343*eV   75032.705137*m
1.435002*eV   74686.288616*m
1.436665*eV   74341.073055*m
1.438332*eV   73997.055676*m
1.440002*eV   73654.233703*m
1.441677*eV   73312.604362*m
1.443355*eV   72972.164884*m
1.445037*eV   72632.912504*m
1.446723*eV   72294.844457*m
1.448414*eV   71957.957985*m
1.450108*eV   71622.250330*m
1.451806*eV   71287.718740*m
1.453508*eV   70954.360464*m
1.455214*eV   70622.172755*m
1.456924*eV   70291.152870*m
1.458638*eV   69961.298067*m
1.460356*eV   69632.605611*m
1.462078*eV   69305.072766*m
1.463804*eV   68978.696802*m
1.465534*eV   68653.474992*m
1.467269*eV   68329.404610*m
1.469007*eV   68006.482936*m
1.470750*eV   67684.707252*m
1.472496*eV   67364.074843*m
1.474247*eV   67044.582998*m
1.476002*eV   66726.229008*m
1.477762*eV   66409.010168*m
1.479525*eV   66092.923777*m
1.481293*eV   65777.967135*m
1.483065*eV   65464.137548*m
1.484841*eV   65151.432323*m
1.486621*eV   64839.848771*m
1.488406*eV   64529.384207*m
1.490195*eV   64220.035947*m
1.491988*eV   63911.801314*m
1.493786*eV   63604.677630*m
1.495587*eV   63298.662222*m
1.497394*eV   62993.752422*m
1.499204*eV   62689.945562*m
1.501019*eV   62387.238980*m
1.502839*eV   62085.630016*m
1.504663*eV   61785.116012*m
1.506491*eV   61485.694315*m
