"Wavelength
(nm)","Energy 
(eV)","Absorption 
Length (m)","Rayleigh
Length (m)"
190,6.525,62.7858,174.672
191,6.491,107.174,178.379
192,6.458,146.526,182.144
193,6.424,207.805,185.968
194,6.391,313.829,189.852
195,6.358,553.607,193.797
196,6.326,849.978,197.803
197,6.294,771.339,201.871
198,6.262,1035.51,206.001
199,6.230,1350,210.195
200,6.199,1350,214.451
201,6.168,1350,218.773
202,6.138,1350,223.159
203,6.108,1350,227.611
204,6.078,1350,232.129
205,6.048,1350,236.714
206,6.019,1350,241.367
207,5.990,1350,246.088
208,5.961,1350,250.878
209,5.932,1350,255.737
210,5.904,1350,260.667
205.5,6.033,1350,238.566
215.5,5.753,1350,288.554
225.5,5.498,1350,346.012
235.5,5.265,1350,411.649
245.5,5.050,1350,486.206
255.5,4.853,1350,570.458
265.5,4.670,1350,665.21
275.5,4.500,1350,771.3
285.5,4.343,1350,889.598
295.5,4.196,1350,1021.01
305.5,4.058,1350,1166.46
315.5,3.930,1350,1326.93
325.5,3.809,1350,1503.4
335.5,3.696,1350,1696.92
345.5,3.589,1350,1908.54
355.5,3.488,1350,2139.36
365.5,3.392,1350,2390.51
375.5,3.302,1350,2663.15
385.5,3.216,1350,2958.46
395.5,3.135,1350,3277.68
405.5,3.058,1350,3622.05
415.5,2.984,1350,3992.88
425.5,2.914,1350,4391.47
435.5,2.847,1350,4819.18
445.5,2.783,1350,5277.39
455.5,2.722,1350,5767.53
465.5,2.663,1350,6291.04
475.5,2.607,1350,6849.41
485.5,2.554,1350,7444.13
495.5,2.502,1350,8076.78
505.5,2.453,1350,8748.91
515.5,2.405,1350,9462.14
525.5,2.359,1350,10218.1
535.5,2.315,1350,11018.5
545.5,2.273,1350,11865
555.5,2.232,1350,12759.4
565.5,2.192,1350,13703.4
575.5,2.154,1350,14698.8
585.5,2.118,1350,15747.5
595.5,2.082,1350,16851.4
605.5,2.048,1350,18012.3
615.5,2.014,1350,19232.1
625.5,1.982,1350,20512.9
635.5,1.951,1350,21856.6
645.5,1.921,1350,23265.3
655.5,1.891,1350,24741
665.5,1.863,1350,26285.8
675.5,1.835,1350,27901.8
685.5,1.809,1350,29591.2
695.5,1.783,1350,31356.2
705.5,1.757,1350,33199
715.5,1.733,1350,35121.9
725.5,1.709,1350,37127.1
735.5,1.686,1350,39216.9
745.5,1.663,1350,41393.8
755.5,1.641,1350,43660.1
765.5,1.620,1350,46018.1
775.5,1.599,1350,48470.4
785.5,1.578,1350,51019.5
