Wavelength (nm),Rayleigh Length (m)
190.0,174.58964076153842
191.0,178.29445542374523
192.0,182.05792275840966
193.0,185.8806585754788
194.0,189.7632819010433
195.0,193.7064149773399
196.0,197.71068326275338
197.0,201.7767154318187
198.0,205.90514337522356
199.0,210.0966021998101
200.0,214.35173022857725
201.0,218.67116900068305
202.0,223.0555632714464
203.0,227.5055610123495
204.0,232.02181341103983
205.0,236.60497487133216
206.0,241.2557030132109
207.0,245.9746586728319
208.0,250.76250590252468
209.0,255.61991197079442
210.0,260.547547362324
211.0,265.54608577797615
212.0,270.6162041347953
213.0,275.75858256600975
214.0,280.97390442103364
215.0,286.2628562654688
216.0,291.62612788110727
217.0,297.0644122659322
218.0,302.5784056341212
219.0,308.16880741604723
220.0,313.8363202582809
221.0,319.5816500235927
222.0,325.40550579095446
223.0,331.3085998555417
224.0,337.29164772873503
225.0,343.3553681381227
226.0,349.5004830275022
227.0,355.72771755688166
228.0,362.0378001024829
229.0,368.431462256742
230.0,374.9094388283121
231.0,381.47246784206493
232.0,388.1212905390926
233.0,394.85665137670964
234.0,401.6792980284544
235.0,408.5899813840915
236.0,415.58945554961326
237.0,422.67847784724154
238.0,429.8578088154297
239.0,437.12821220886406
240.0,444.49045499846625
241.0,451.9453073713944
242.0,459.4935427310453
243.0,467.135937697056
244.0,474.8732721053057
245.0,482.7063290079173
246.0,490.63589467325926
247.0,498.6627585859474
248.0,506.7877134468467
249.0,515.0115551730727
250.0,523.3350828979934
251.0,531.7590989712311
252.0,540.2844089586639
253.0,548.9118216424275
254.0,557.642149020917
255.0,566.4762063087883
256.0,575.41481193696
257.0,584.4587875526148
258.0,593.6089580192017
259.0,602.8661514164374
260.0,612.2311990403072
261.0,621.7049354030679
262.0,631.2881982332487
263.0,640.9818284756531
264.0,650.78667029136
265.0,660.7035710577263
266.0,670.7333813683875
267.0,680.8769550332601
268.0,691.1351490785423
269.0,701.5088237467169
270.0,711.9988424965514
271.0,722.6060720031007
272.0,733.3313821577085
273.0,744.175646068008
274.0,755.1397400579247
275.0,766.2245436676772
276.0,777.4309396537788
277.0,788.7598139890395
278.0,800.2120558625668
279.0,811.7885576797682
280.0,823.4902150623519
281.0,835.3179268483284
282.0,847.2725950920127
283.0,859.3551250640251
284.0,871.566425251293
285.0,883.9074073570523
286.0,896.3789863008491
287.0,908.9820802185411
288.0,921.7176104622989
289.0,934.5865016006078
290.0,947.5896814182688
291.0,960.7280809164008
292.0,974.0026343124416
293.0,987.4142790401489
294.0,1000.9639557496032
295.0,1014.6526083072074
296.0,1028.4811837956895
297.0,1042.4506325141044
298.0,1056.5619079778332
299.0,1070.8159669185877
300.0,1085.213769284409
301.0,1099.7562782396708
302.0,1114.44446016508
303.0,1129.279284657678
304.0,1144.2617245308431
305.0,1159.3927558142902
306.0,1174.6733577540742
307.0,1190.1045128125895
308.0,1205.6872066685733
309.0,1221.4224282171047
310.0,1237.311169569608
311.0,1253.3544260538538
312.0,1269.5531962139596
313.0,1285.9084818103915
314.0,1302.4212878199655
315.0,1319.0926224358493
316.0,1335.9234970675634
317.0,1352.9149263409822
318.0,1370.0679280983356
319.0,1387.3835233982104
320.0,1404.862736515551
321.0,1422.5065949416621
322.0,1440.3161293842081
323.0,1458.2923737672172
324.0,1476.4363652310792
325.0,1494.7491441325496
326.0,1513.23175404475
327.0,1531.885241757169
328.0,1550.710657275664
329.0,1569.7090538224631
330.0,1588.8814878361643
331.0,1608.2290189717394
332.0,1627.7527101005332
333.0,1647.4536273102665
334.0,1667.3328399050356
335.0,1687.3914204053156
336.0,1707.6304445479593
337.0,1728.0509912862005
338.0,1748.6541427896552
339.0,1769.4409844443207
340.0,1790.4126048525793
341.0,1811.5700958331984
342.0,1832.9145524213322
343.0,1854.4470728685221
344.0,1876.1687586426985
345.0,1898.0807144281835
346.0,1920.1840481256888
347.0,1942.4798708523201
348.0,1964.9692969415767
349.0,1987.6534439433533
350.0,2010.5334326239406
351.0,2033.6103869660271
352.0,2056.885434168701
353.0,2080.359704647449
354.0,2104.034332034161
355.0,2127.9104531771272
356.0,2151.9892081410435
357.0,2176.2717402070098
358.0,2200.7591958725316
359.0,2225.452724851523
360.0,2250.3534800743055
361.0,2275.4626176876104
362.0,2300.7812970545806
363.0,2326.3106807547697
364.0,2352.0519345841462
365.0,2378.006227555091
366.0,2404.1747318964017
367.0,2430.5586230532936
368.0,2457.1590796873975
369.0,2483.9772836767643
370.0,2511.0144201158664
371.0,2538.271677315596
372.0,2565.750246803267
373.0,2593.4513233226203
374.0,2621.3761048338174
375.0,2649.5257925134483
376.0,2677.9015907545295
377.0,2706.5047071665063
378.0,2735.336352575251
379.0,2764.3977410230696
380.0,2793.6900897686974
381.0,2823.214619287303
382.0,2852.9725532704892
383.0,2882.965118626293
384.0,2913.193545479189
385.0,2943.6590671700865
386.0,2974.362920256335
387.0,3005.306344511723
388.0,3036.4905829264785
389.0,3067.916881707273
390.0,3099.5864902772187
391.0,3131.5006612758725
392.0,3163.660650559236
393.0,3196.0677171997568
394.0,3228.7231234863293
395.0,3261.6281349242972
396.0,3294.784020235451
397.0,3328.1920513580344
398.0,3361.85350344674
399.0,3395.7696548727135
400.0,3429.9417872235554
401.0,3464.3711853033187
402.0,3499.0591371325136
403.0,3534.0069339481065
404.0,3569.215870203521
405.0,3604.68724356864
406.0,3640.422354929806
407.0,3676.4225083898227
408.0,3712.689011267956
409.0,3749.2231740999346
410.0,3786.02631063795
411.0,3823.0997378506604
412.0,3860.44477592319
413.0,3898.062748257128
414.0,3935.954981470536
415.0,3974.1228053979403
416.0,4012.5675530903395
417.0,4051.2905608152046
418.0,4090.2931680564766
419.0,4129.57671751457
420.0,4169.142555106378
421.0,4208.992029965261
422.0,4249.126494441063
423.0,4289.547304100102
424.0,4330.255817725176
425.0,4371.2533973155605
426.0,4412.541408087012
427.0,4454.121218471771
428.0,4495.9942001185545
429.0,4538.16172789257
430.0,4580.625179875503
431.0,4623.385937365529
432.0,4666.445384877308
433.0,4709.804910141986
434.0,4753.4659041072
435.0,4797.429760937075
436.0,4841.697878012226
437.0,4886.27165592976
438.0,4931.152498503274
439.0,4976.341812762863
440.0,5021.841008955111
441.0,5067.651500543099
442.0,5113.7747042064075
443.0,5160.212039841109
444.0,5206.964930559774
445.0,5254.034802691479
446.0,5301.423085781792
447.0,5349.131212592787
448.0,5397.160619103038
449.0,5445.5127445076205
450.0,5494.189031218119
451.0,5543.190924862616
452.0,5592.5198742857065
453.0,5642.177331548486
454.0,5692.164751928559
455.0,5742.483593920042
456.0,5793.135319233557
457.0,5844.12139279624
458.0,5895.443282751734
459.0,5947.102460460195
460.0,5999.100400498298
461.0,6051.438580659225
462.0,6104.118481952676
463.0,6157.141588604866
464.0,6210.509388058529
465.0,6264.223370972914
466.0,6318.28503122379
467.0,6372.695865903445
468.0,6427.4573753206905
469.0,6482.571063000855
470.0,6538.038435685791
471.0,6593.861003333876
472.0,6650.0402791200095
473.0,6706.577779435615
474.0,6763.475023888648
475.0,6820.733535303584
476.0,6878.354839721427
477.0,6936.340466399715
478.0,6994.691947812511
479.0,7053.410819650408
480.0,7112.498620820533
481.0,7171.956893446544
482.0,7231.787182868631
483.0,7291.991037643521
484.0,7352.570009544474
485.0,7413.5256535612825
486.0,7474.859527900282
487.0,7536.573193984342
488.0,7598.66821645287
489.0,7661.146163161813
490.0,7724.00860518366
491.0,7787.257116807439
492.0,7850.893275538719
493.0,7914.918662099616
494.0,7979.334860428784
495.0,8044.143457681426
496.0,8109.346044229288
497.0,8174.944213660663
498.0,8240.93956278039
499.0,8307.333691609858
500.0,8374.128203387001
501.0,8441.324704566307
502.0,8508.924804818813
503.0,8576.930117032105
504.0,8645.342257310323
505.0,8714.162844974162
506.0,8783.393502560866
507.0,8853.035855824239
508.0,8923.091533734636
509.0,8993.56216847897
510.0,9064.449395460713
511.0,9135.754853299892
512.0,9207.480183833095
513.0,9279.62703211347
514.0,9352.197046410722
515.0,9425.191878211122
516.0,9498.613182217501
517.0,9572.462616349254
518.0,9646.741841742336
519.0,9721.452522749272
520.0,9796.59632693915
521.0,9872.174925097623
522.0,9948.189991226913
523.0,10024.64320254581
524.0,10101.536239489673
525.0,10178.870785710427
526.0,10256.648528076574
527.0,10334.87115667318
528.0,10413.540364801887
529.0,10492.657848980909
530.0,10572.225308945035
531.0,10652.244447645626
532.0,10732.71697125062
