#PDE extrapolated from the 75um datasheet
#lambda[nm], PDE
207.7490774907749 0.07
224.96924969249693 0.14
242.18942189421895 0.21
259.409594095941 0.24
276.62976629766297 0.30
293.849938499385 0.42
311.070110701107 0.50
328.29028290282906 0.53
345.51045510455106 0.54
362.73062730627305 0.53
379.95079950799504 0.55
397.17097170971715 0.56
414.39114391143914 0.56
431.61131611316114 0.56
448.8314883148832 0.56
466.0516605166052 0.55
483.2718327183272 0.54
500.49200492004917 0.51
517.7121771217712 0.48
534.9323493234933 0.45
552.1525215252152 0.42
569.3726937269373 0.39
586.5928659286593 0.37
603.8130381303813 0.35
621.0332103321034 0.33
638.2533825338253 0.28
655.4735547355474 0.26
672.6937269372695 0.23
689.9138991389914 0.21
707.1340713407135 0.19
724.3542435424354 0.17
741.5744157441575 0.16
758.7945879458795 0.14
776.0147601476015 0.13
793.2349323493236 0.11
810.4551045510456 0.10
827.6752767527676 0.09
844.8954489544896 0.08
862.1156211562115 0.06
879.3357933579335 0.05
1000 0.00
