#PDE extrapolated from the hamamatsu datasheet
#lamda[nm], 3050Vs, 3075VS, 3025Vs
284.8027086860268 0.10 0.10 0.05
295.2207318661284 0.19 0.23 0.11
305.63875504622996 0.23 0.28 0.14
316.0567782263315 0.25 0.31 0.15
326.47480140643313 0.27 0.33 0.16
336.8928245865347 0.29 0.35 0.17
347.31084776663624 0.30 0.36 0.18
357.72887094673786 0.30 0.36 0.18
368.1468941268394 0.31 0.37 0.18
378.56491730694097 0.32 0.39 0.20
388.9829404870426 0.35 0.43 0.21
399.40096366714414 0.37 0.45 0.22
409.8189868472457 0.39 0.47 0.23
420.2370100273473 0.40 0.48 0.24
430.6550332074489 0.40 0.49 0.24
441.0730563875504 0.41 0.50 0.25
451.49107956765204 0.41 0.50 0.25
461.9091027477536 0.42 0.50 0.25
472.3271259278552 0.41 0.50 0.25
482.74514910795676 0.41 0.50 0.25
493.1631722880583 0.41 0.49 0.25
503.5811954681599 0.40 0.48 0.24
513.9992186482614 0.39 0.47 0.23
524.4172418283631 0.38 0.46 0.23
534.8352650084646 0.36 0.44 0.22
545.2532881885662 0.35 0.42 0.21
555.6713113686678 0.33 0.41 0.20
566.0893345487693 0.32 0.39 0.19
576.5073577288709 0.31 0.37 0.18
586.9253809089726 0.29 0.35 0.18
597.343404089074 0.28 0.34 0.17
607.7614272691757 0.27 0.32 0.16
618.1794504492773 0.25 0.31 0.15
628.5974736293788 0.24 0.29 0.14
639.0154968094804 0.22 0.27 0.13
649.433519989582 0.21 0.25 0.13
659.8515431696835 0.20 0.24 0.12
670.2695663497852 0.19 0.23 0.11
680.6875895298867 0.17 0.21 0.11
691.1056127099882 0.17 0.20 0.10
701.5236358900897 0.15 0.19 0.09
711.9416590701915 0.15 0.18 0.09
722.3596822502931 0.14 0.17 0.08
732.7777054303946 0.13 0.16 0.08
743.1957286104962 0.12 0.15 0.07
753.6137517905977 0.11 0.14 0.07
764.0317749706993 0.11 0.13 0.06
774.4497981508009 0.10 0.12 0.06
784.8678213309024 0.09 0.11 0.05
795.285844511004 0.08 0.10 0.05
805.7038676911056 0.08 0.09 0.05
816.1218908712071 0.07 0.09 0.04
826.5399140513088 0.07 0.08 0.04
836.9579372314103 0.06 0.07 0.04
847.3759604115119 0.06 0.07 0.03
857.7939835916135 0.05 0.06 0.03
868.2120067717151 0.05 0.05 0.03
878.6300299518166 0.04 0.05 0.02
1000 0.0 0.01 0.01
